run_id,re-prompt_policy,(re)prompt_source,re-prompt_count,single_shot_video?,model,clip_id,iou_median,iou_p25,iou_p75,biou_median,biou_p25,biou_p75,jitter_norm_median_pct,jitter_norm_p95_pct,area_cv_pct,empty_frames_pct,proc_fps_measured,proc_fps_theoretical,target_W,target_H,stride,overlay_observation
11,shot_starts,YOLO11s_train7,8,N,SAM-2,clip_occlusion,0.679939389,0,0.843851749,0.382227112,0,0.626540797,1.963147223,12.39303517,159.3286302,26,5.280767469,25,1280,720,1,
12,shot_starts,YOLO11n_train8,8,N,SAM-2,clip_occlusion,0.671979276,0.610924257,0.735546459,0.359556704,0.222558825,0.403149705,3.245060444,24.91479759,145.0822738,0,4.988107202,25,1280,720,1,
13,"centroid_jump, area_change, empty_streak",gt,0,N,SAM-2,clip_glare,0,0,0,0,0,0,4.452856064,20.33273048,186.1246011,76.08695652,15.12669253,25,1280,720,1,"segmented billboard accurately for the first few seconds. After camera move, mask disappeared and never recovered. "
14,"centroid_jump, area_change, empty_streak",gt,44,N,SAM-2,clip_glare,0.697427094,0.008485775,0.792243838,0.549592733,0.08494081,0.663981229,2.388499856,27.9985261,40.46228679,8.695652174,15.74544623,25,1280,720,1,
15,shot_starts,gt,4,N,SAM-2,clip_glare,0.823809773,0.766971692,0.911929369,0.56792596,0.523619056,0.633989409,1.762940407,24.27395744,87.0981579,0,16.71752084,25,1280,720,1,
16,shot_starts,OWL-ViT,4,N,SAM-2,clip_glare,0.49865146,0.277309321,0.806032792,0.398239702,0.235771675,0.43547976,1.258875251,19.15488548,77.4243238,0,1.756804833,25,1280,720,1,"Beside billboard, OWL-ViT also annotated on wrong objects: match points on screen"
17,shot_starts,YOLO11s_train7,4,N,SAM-2,clip_glare,0.3278294,0,0.762841846,0.150286818,0,0.559016836,6.109521627,25.44566288,125.3335826,43.47826087,1.899501592,25,1280,720,1,
18,shot_starts,YOLO11n_train8,4,N,SAM-2,clip_glare,0.653911661,0.328090829,0.737681818,0.41391957,0.154857372,0.559786829,3.286420345,27.03471355,68.52149275,13.04347826,2.35577286,25,1280,720,1,
19,"centroid_jump, area_change, empty_streak",gt,0,Y,SAM-2,clip_gentle,0.614807457,0.59509556,0.631749839,0.332186997,0.318675794,0.351542257,0.26153639,0.923943913,3.415672011,0,19.01328743,25,1280,720,1,
20,shot_starts,OWL-ViT,0,Y,SAM-2,clip_gentle,0.033194609,0.000392149,0.091421233,0.044007067,0.018167272,0.100047214,0.384913057,3.078566027,15.97754305,0,2.476801021,25,1280,720,1,
21,shot_starts,YOLO11s_train7,0,Y,SAM-2,clip_gentle,0.860878743,0.838041503,0.879264594,0.724835353,0.694219523,0.758427419,0.537439942,2.49877677,4.019083802,0,2.334249379,25,1280,720,1,Accurate. No spill-over. 
22,shot_starts,YOLO11n_train8,0,Y,SAM-2,clip_gentle,0.865363236,0.844374878,0.883444608,0.733623762,0.694061325,0.766168149,0.316380084,1.569589818,3.459709087,0,2.790973153,25,1280,720,1,
23,"centroid_jump, area_change, empty_streak",gt,8,Y,SAM-2,clip_fast,0.635195553,0.567936778,0.755486369,0.436114073,0.359856486,0.574789762,0.662650168,6.678937101,29.45033579,0,18.40054685,25,1280,720,1,
24,"centroid_jump, area_change, empty_streak",gt,0,Y,SAM-2,clip_fast,0.611602128,0.503973395,0.749987394,0.433550209,0.345041156,0.576036721,0.653264165,9.204112625,30.59828456,0,18.28184948,25,1280,720,1,
25,shot_starts,gt,2,Y,SAM-2,clip_fast,0.671675503,0.651884139,0.696686655,0.335686147,0.318178102,0.416221499,0.302254274,1.592464954,16.15542381,0,17.2650699,25,1280,720,1,
26,shot_starts,OWL-ViT,2,Y,SAM-2,clip_fast,0,0,0.079995189,0,0,0.091878984,1.205508173,9.78322506,136.5969536,61.61616162,2.732000945,25,1280,720,1,
27,shot_starts,YOLO11n_train8,2,Y,SAM-2,clip_fast,0,0,0,0,0,0,nan,nan,nan,100,0,25,1280,720,1,
28,shot_starts,YOLO11s_train7,2,Y,SAM-2,clip_fast,0,0,0,0,0,0,nan,nan,nan,100,0,25,1280,720,1,0 annotation
29,"centroid_jump, area_change, empty_streak",gt,74,N,SAM-2,clip_corner,0.831846118,0.493692428,0.922456384,0.497133553,0.381485283,0.533061385,1.774092078,23.45390444,81.09619572,0,15.3151578,25,1280,720,1,
30,"centroid_jump, area_change, empty_streak",gt,0,N,SAM-2,clip_corner,0.79636085,0.242384627,0.897125304,0.360667646,0.169187516,0.517133594,3.798180699,33.00598497,98.52875397,23.80952381,12.42157767,25,1280,720,1,
